date,price
2025-01-01,94757.0
2025-01-02,97034.0
2025-01-03,98179.0
2025-01-04,98319.0
2025-01-05,98400.0
2025-01-06,102290.0
2025-01-07,97006.0
2025-01-08,95198.0
2025-01-09,92692.0
2025-01-10,94835.0
2025-01-11,94716.0
2025-01-12,94574.0
2025-01-13,94682.0
2025-01-14,96701.0
2025-01-15,100490.0
2025-01-16,100040.0
2025-01-17,104040.0
2025-01-18,104490.0
2025-01-19,101360.0
2025-01-20,102170.0
2025-01-21,106150.0
2025-01-22,103680.0
2025-01-23,103930.0
2025-01-24,104800.0
2025-01-25,104700.0
2025-01-26,102670.0
2025-01-27,102300.0
2025-01-28,101460.0
2025-01-29,103780.0
2025-01-30,104740.0
2025-01-31,102470.0
2025-02-01,100700.0
2025-02-02,97600.0
2025-02-03,101270.0
2025-02-04,97798.0
2025-02-05,96614.0
2025-02-06,96678.0
2025-02-07,96579.0
2025-02-08,96582.0
2025-02-09,96615.0
2025-02-10,97550.0
2025-02-11,95950.0
2025-02-12,98007.0
2025-02-13,96802.0
2025-02-14,97489.0
2025-02-15,97574.0
2025-02-16,96264.0
2025-02-17,95955.0
2025-02-18,95828.0
2025-02-19,96801.0
2025-02-20,98433.0
2025-02-21,96345.0
2025-02-22,96721.0
2025-02-23,96450.0
2025-02-24,91901.0
2025-02-25,88923.0
2025-02-26,84470.0
2025-02-27,85021.0
2025-02-28,84672.0
2025-03-01,86382.0
2025-03-02,94487.0
2025-03-03,86475.0
2025-03-04,87472.0
2025-03-05,90848.0
2025-03-06,90120.0
2025-03-07,87014.0
2025-03-08,86493.0
2025-03-09,80893.0
2025-03-10,78734.0
2025-03-11,83142.0
2025-03-12,83856.0
2025-03-13,81289.0
2025-03-14,84207.0
2025-03-15,84536.0
2025-03-16,82759.0
2025-03-17,84240.0
2025-03-18,82942.0
2025-03-19,87029.0
2025-03-20,84296.0
2025-03-21,84144.0
2025-03-22,83919.0
2025-03-23,86251.0
2025-03-24,87614.0
2025-03-25,87641.0
2025-03-26,87089.0
2025-03-27,87317.0
2025-03-28,84573.0
2025-03-29,82861.0
2025-03-30,82553.0
2025-03-31,82673.0
2025-04-01,85197.0
2025-04-02,82493.0
2025-04-03,83191.0
2025-04-04,83841.0
2025-04-05,83598.0
2025-04-06,78441.0
2025-04-07,79181.0
2025-04-08,76332.0
2025-04-09,82542.0
2025-04-10,79553.0
2025-04-11,83372.0
2025-04-12,85259.0
2025-04-13,83683.0
2025-04-14,84544.0
2025-04-15,83667.0
2025-04-16,84021.0
2025-04-17,84827.0
2025-04-18,84363.0
2025-04-19,84934.0
2025-04-20,85019.0
2025-04-21,87473.0
2025-04-22,93303.0
2025-04-23,93639.0
2025-04-24,93940.0
2025-04-25,94702.0
2025-04-26,94693.0
2025-04-27,93784.0
2025-04-28,95046.0
2025-04-29,94451.0
2025-04-30,94309.0
2025-05-01,96467.0
2025-05-02,96887.0
2025-05-03,96065.0
2025-05-04,94704.0
2025-05-05,94990.0
2025-05-06,96933.0
2025-05-07,97119.0
2025-05-08,103250.0
2025-05-09,102940.0
2025-05-10,104680.0
2025-05-11,104090.0
2025-05-12,102860.0
2025-05-13,104160.0
2025-05-14,103550.0
2025-05-15,103700.0
2025-05-16,103450.0
2025-05-17,103140.0
2025-05-18,106510.0
2025-05-19,105500.0
2025-05-20,106710.0
2025-05-21,109630.0
2025-05-22,111640.0
2025-05-23,107210.0
2025-05-24,107540.0
2025-05-25,108890.0
2025-05-26,109390.0
2025-05-27,108850.0
2025-05-28,107760.0
2025-05-29,105580.0
2025-05-30,104030.0
2025-05-31,104660.0
2025-06-01,105620.0
2025-06-02,105880.0
2025-06-03,105400.0
2025-06-04,104580.0
2025-06-05,101670.0
2025-06-06,104450.0
2025-06-07,105680.0
2025-06-08,105830.0
2025-06-09,110300.0
2025-06-10,110180.0
2025-06-11,108610.0
