date,price
2025-01-02,300.01
2025-01-03,339.66
2025-01-06,379.09
2025-01-07,341.42
2025-01-08,331.70
2025-01-10,327.91
2025-01-13,328.40
2025-01-14,342.17
2025-01-15,360.62
2025-01-16,367.00
2025-01-17,396.50
2025-01-21,389.10
2025-01-22,377.31
2025-01-23,373.12
2025-01-24,353.67
2025-01-27,347.92
2025-01-28,335.93
2025-01-29,341.25
2025-01-30,340.09
2025-01-31,334.79
2025-02-03,347.09
2025-02-04,348.31
2025-02-05,336.70
2025-02-06,325.46
2025-02-07,327.56
2025-02-10,334.62
2025-02-11,319.46
2025-02-12,326.82
2025-02-13,324.92
2025-02-14,337.73
2025-02-18,333.97
2025-02-19,318.67
2025-02-20,323.92
2025-02-21,299.69
2025-02-24,282.76
2025-02-25,250.51
2025-02-26,263.27
2025-02-27,240.05
2025-02-28,255.43
2025-03-03,250.92
2025-03-04,275.15
2025-03-05,308.55
2025-03-06,304.11
2025-03-07,287.18
2025-03-10,239.27
2025-03-11,260.59
2025-03-12,262.55
2025-03-13,263.26
2025-03-14,297.49
2025-03-17,294.27
2025-03-18,283.19
2025-03-19,304.23
2025-03-20,302.07
2025-03-21,304.00
2025-03-24,335.72
2025-03-25,341.81
2025-03-26,329.31
2025-03-27,324.59
2025-03-28,289.41
2025-03-31,288.27
2025-04-01,306.02
2025-04-02,312.54
2025-04-03,282.28
2025-04-04,293.61
2025-04-07,268.14
2025-04-08,237.95
2025-04-09,296.86
2025-04-10,272.34
2025-04-11,299.98
2025-04-14,311.45
2025-04-15,310.72
2025-04-16,311.66
2025-04-17,317.20
2025-04-21,317.76
2025-04-22,343.03
2025-04-23,345.73
2025-04-24,350.34
2025-04-25,368.71
2025-04-28,369.25
2025-04-29,381.45
2025-04-30,380.11
2025-05-01,381.60
2025-05-02,394.37
2025-05-05,386.53
2025-05-06,385.60
2025-05-07,392.48
2025-05-08,414.38
2025-05-09,416.03
2025-05-12,404.90
2025-05-13,421.61
2025-05-14,416.75
2025-05-15,397.03
2025-05-16,399.80
2025-05-19,413.42
2025-05-20,416.92
2025-05-21,402.69
2025-05-22,399.46
2025-05-23,369.51
2025-05-27,372.20
2025-05-28,364.25
2025-05-29,370.63
2025-05-30,369.06
2025-06-02,372.27
2025-06-03,387.43
2025-06-04,378.10
2025-06-05,368.79
2025-06-06,374.47
2025-06-09,392.12
2025-06-10,391.18
2025-06-11,387.11
2025-06-12,379.76
2025-06-13,382.87
2025-06-16,382.25
2025-06-17,375.18
2025-06-18,369.03
2025-06-20,369.70
2025-06-23,367.18
2025-06-24,377.02
2025-06-25,388.67
2025-06-26,386.44
2025-06-27,383.88
2025-06-30,404.23
2025-07-01,373.30
2025-07-02,402.28
2025-07-03,403.99
2025-07-07,395.67
2025-07-08,396.94
2025-07-09,415.41
2025-07-10,421.74
2025-07-11,434.58
2025-07-14,451.02
2025-07-15,442.31
2025-07-16,455.90
2025-07-17,451.34
2025-07-18,423.22
2025-07-21,426.28
2025-07-22,426.40
2025-07-23,412.67
2025-07-24,414.92
2025-07-25,405.89
2025-07-28,403.80
2025-07-29,394.66
2025-07-30,395.04
2025-07-31,401.86
2025-08-01,366.63
2025-08-04,389.24
2025-08-05,375.46
2025-08-06,383.41
2025-08-07,402.01
2025-08-08,395.13
2025-08-11,400.25
2025-08-12,394.39
2025-08-13,389.90
2025-08-14,372.94
2025-08-15,366.32
2025-08-18,363.60
2025-08-19,336.57
2025-08-20,344.37
2025-08-21,337.58
2025-08-22,358.13
2025-08-25,343.20
2025-08-26,351.36
2025-08-27,342.06
2025-08-28,338.84
2025-08-29,334.41
2025-09-02,341.62
2025-09-03,330.26
2025-09-04,327.59
2025-09-05,335.87
2025-09-08,329.90
2025-09-09,328.53
2025-09-10,326.45
2025-09-11,326.02
2025-09-12,331.44
2025-09-15,327.79
2025-09-16,335.09
2025-09-17,329.71
2025-09-18,349.12
2025-09-19,344.75
2025-09-22,335.93
2025-09-23,327.78
2025-09-24,323.31
2025-09-25,300.70
2025-09-26,309.06
2025-09-29,326.42
2025-09-30,322.21
2025-10-01,338.41
2025-10-02,352.33
2025-10-03,351.63
2025-10-06,359.69
2025-10-07,328.40
2025-10-08,330.80
2025-10-09,320.29
2025-10-10,304.79
2025-10-13,315.47
2025-10-14,300.67
2025-10-15,296.76
2025-10-16,283.84
2025-10-17,289.87
2025-10-20,296.61
2025-10-21,301.91
2025-10-22,280.81
2025-10-23,284.92
2025-10-24,289.08
2025-10-27,295.63
2025-10-28,284.64
2025-10-29,275.36
2025-10-30,254.57
2025-10-31,269.51
2025-11-03,264.67
2025-11-04,246.99
2025-11-05,255.00
2025-11-06,237.20
2025-11-07,241.93
2025-11-10,238.88
2025-11-11,231.35
2025-11-12,224.61
2025-11-13,208.54
2025-11-14,199.75
2025-11-17,195.42
2025-11-18,206.80
2025-11-19,186.50
2025-11-20,177.13
2025-11-21,170.50
2025-11-24,179.04
2025-11-25,172.19
2025-11-26,175.64
2025-11-28,177.18
2025-12-01,171.42
2025-12-02,181.33
2025-12-03,188.39
2025-12-04,186.01
2025-12-05,178.99
2025-12-08,183.69
2025-12-09,188.99
2025-12-10,184.64
2025-12-11,183.30
2025-12-12,176.45
2025-12-15,162.08
2025-12-16,167.50
2025-12-17,160.38
2025-12-18,158.24
2025-12-19,164.82
2025-12-22,164.32
2025-12-23,157.88
2025-12-24,158.71
2025-12-26,158.81
2025-12-29,155.39
2025-12-30,155.61
2025-12-31,151.95
2026-01-02,157.16
2026-01-05,164.72
2026-01-06,157.97
2026-01-07,161.83
2026-01-08,166.97
2026-01-09,157.33
2026-01-12,162.23
2026-01-13,172.99
2026-01-14,179.33
2026-01-15,170.91
2026-01-16,173.71
2026-01-20,160.23
2026-01-21,163.81
2026-01-22,160.98
2026-01-23,163.11
2026-01-26,160.58
2026-01-27,161.58
2026-01-28,158.45
2026-01-29,143.19
2026-01-30,149.71
2026-02-02,139.63
2026-02-03,133.26
2026-02-04,129.09
2026-02-05,106.99
2026-02-06,134.93
2026-02-09,138.44
2026-02-10,133.00
2026-02-11,126.07
2026-02-12,123.00
2026-02-13,133.88
2026-02-17,128.67
2026-02-18,125.20
2026-02-19,129.45
2026-02-20,131.05
2026-02-23,123.71
2026-02-24,124.61
2026-02-25,135.65
2026-02-26,133.40
2026-02-27,129.50
2026-03-02,137.65
2026-03-03,132.68
2026-03-04,146.44
2026-03-05,139.81
2026-03-06,133.53
2026-03-09,138.95
2026-03-10,138.46
2026-03-11,138.33
2026-03-12,137.34
2026-03-13,139.67
2026-03-16,139.67
2026-03-17,147.52
2026-03-18,150.28
2026-03-19,140.56
2026-03-20,136.44
