date,price
2025-07-28,89.95
2025-07-29,93.25
2025-07-30,94.50
2025-07-31,94.48
2025-08-01,94.14
2025-08-04,96.39
2025-08-05,96.50
2025-08-06,97.00
2025-08-07,97.59
2025-08-08,97.50
2025-08-11,98.05
2025-08-12,97.79
2025-08-13,97.90
2025-08-14,98.01
2025-08-15,96.95
2025-08-18,96.25
2025-08-19,93.60
2025-08-20,93.99
2025-08-21,94.44
2025-08-22,95.05
2025-08-25,95.10
2025-08-26,95.66
2025-08-27,96.52
2025-08-28,97.41
2025-08-29,97.75
2025-09-02,97.48
2025-09-03,97.67
2025-09-04,97.46
2025-09-05,97.60
2025-09-08,97.56
2025-09-09,97.33
2025-09-10,97.40
2025-09-11,97.37
2025-09-12,97.25
2025-09-15,96.90
2025-09-16,96.95
2025-09-17,97.26
2025-09-18,97.50
2025-09-19,97.70
2025-09-22,97.55
2025-09-23,97.40
2025-09-24,97.50
2025-09-25,96.92
2025-09-26,97.00
2025-09-29,97.05
2025-09-30,97.06
2025-10-01,97.98
2025-10-02,98.97
2025-10-03,99.00
2025-10-06,99.15
2025-10-07,98.70
2025-10-08,98.90
2025-10-09,98.75
2025-10-10,98.63
2025-10-13,99.03
2025-10-14,98.80
2025-10-15,98.38
2025-10-16,97.30
2025-10-17,97.40
2025-10-20,98.62
2025-10-21,98.63
2025-10-22,98.12
2025-10-23,98.67
2025-10-24,98.71
2025-10-27,98.50
2025-10-28,98.60
2025-10-29,98.72
2025-10-30,98.89
2025-10-31,99.38
2025-11-03,99.61
2025-11-04,99.74
2025-11-05,100.01
2025-11-06,99.89
2025-11-07,99.18
2025-11-10,99.96
2025-11-11,100.00
2025-11-12,100.01
2025-11-13,98.63
2025-11-14,97.76
2025-11-17,94.58
2025-11-18,96.39
2025-11-19,94.59
2025-11-20,92.79
2025-11-21,95.38
2025-11-24,96.38
2025-11-25,96.29
2025-11-26,97.17
2025-11-28,96.66
2025-12-01,96.41
2025-12-02,97.80
2025-12-03,98.20
2025-12-04,98.20
2025-12-05,98.19
2025-12-08,98.53
2025-12-09,99.09
2025-12-10,98.98
2025-12-11,99.07
2025-12-12,99.06
2025-12-15,97.70
2025-12-16,97.84
2025-12-17,97.33
2025-12-18,97.90
2025-12-19,98.74
2025-12-22,98.94
2025-12-23,99.00
2025-12-24,98.96
2025-12-26,99.15
2025-12-29,98.79
2025-12-30,98.98
2025-12-31,98.79
2026-01-02,99.67
2026-01-05,99.93
2026-01-06,99.97
2026-01-07,99.99
2026-01-08,100.03
2026-01-09,100.03
2026-01-12,100.07
2026-01-13,100.02
2026-01-14,100.05
2026-01-15,99.99
2026-01-16,100.01
2026-01-20,99.12
2026-01-21,99.55
2026-01-22,99.71
2026-01-23,99.50
2026-01-26,99.05
2026-01-27,99.16
2026-01-28,98.99
2026-01-29,98.19
2026-01-30,98.99
2026-02-02,99.05
2026-02-03,98.46
2026-02-04,97.99
2026-02-05,93.67
2026-02-06,98.76
2026-02-09,99.72
2026-02-10,99.67
2026-02-11,100.00
2026-02-12,100.03
2026-02-13,99.80
2026-02-17,99.33
2026-02-18,99.50
2026-02-19,99.66
2026-02-20,99.82
2026-02-23,99.84
2026-02-24,99.91
2026-02-25,99.96
2026-02-26,100.00
2026-02-27,100.00
2026-03-02,100.00
2026-03-03,100.01
2026-03-04,100.05
2026-03-05,100.01
2026-03-06,100.02
2026-03-09,100.06
2026-03-10,100.02
2026-03-11,100.03
2026-03-12,100.01
2026-03-13,99.75
2026-03-16,99.75
2026-03-17,99.83
2026-03-18,99.875
2026-03-19,99.57
2026-03-20,99.48
