date,price
2025-06-09,87.00
2025-06-10,88.35
2025-06-11,88.56
2025-06-12,88.44
2025-06-13,87.74
2025-06-16,88.00
2025-06-17,87.00
2025-06-18,87.10
2025-06-20,87.19
2025-06-23,87.24
2025-06-24,87.09
2025-06-25,87.11
2025-06-26,87.31
2025-06-27,87.40
2025-06-30,89.75
2025-07-01,89.78
2025-07-02,93.51
2025-07-03,95.25
2025-07-07,93.97
2025-07-08,92.80
2025-07-09,94.12
2025-07-10,94.85
2025-07-11,95.00
2025-07-14,93.94
2025-07-15,93.28
2025-07-16,93.70
2025-07-17,93.97
2025-07-18,93.20
2025-07-21,93.24
2025-07-22,90.90
2025-07-23,88.90
2025-07-24,87.77
2025-07-25,85.75
2025-07-28,84.86
2025-07-29,83.90
2025-07-30,84.33
2025-07-31,85.40
2025-08-01,84.42
2025-08-04,85.18
2025-08-05,84.25
2025-08-06,85.72
2025-08-07,86.35
2025-08-08,86.00
2025-08-11,86.12
2025-08-12,86.02
2025-08-13,85.91
2025-08-14,85.31
2025-08-15,84.88
2025-08-18,83.13
2025-08-19,79.39
2025-08-20,79.35
2025-08-21,79.00
2025-08-22,79.83
2025-08-25,79.25
2025-08-26,79.98
2025-08-27,79.99
2025-08-28,80.00
2025-08-29,79.26
2025-09-02,78.75
2025-09-03,78.70
2025-09-04,78.13
2025-09-05,78.50
2025-09-08,79.70
2025-09-09,80.25
2025-09-10,81.34
2025-09-11,81.70
2025-09-12,82.19
2025-09-15,79.25
2025-09-16,78.84
2025-09-17,78.62
2025-09-18,78.68
2025-09-19,78.90
2025-09-22,79.55
2025-09-23,79.29
2025-09-24,79.30
2025-09-25,78.50
2025-09-26,78.50
2025-09-29,79.30
2025-09-30,78.71
2025-10-01,81.65
2025-10-02,82.78
2025-10-03,83.42
2025-10-06,84.15
2025-10-07,83.68
2025-10-08,83.12
2025-10-09,82.02
2025-10-10,81.00
2025-10-13,80.81
2025-10-14,80.06
2025-10-15,79.74
2025-10-16,78.97
2025-10-17,78.63
2025-10-20,79.35
2025-10-21,79.32
2025-10-22,79.06
2025-10-23,79.00
2025-10-24,79.86
2025-10-27,80.08
2025-10-28,78.30
2025-10-29,78.00
2025-10-30,77.10
2025-10-31,77.34
2025-11-03,78.14
2025-11-04,77.20
2025-11-05,76.99
2025-11-06,76.73
2025-11-07,75.51
2025-11-10,75.20
2025-11-11,74.97
2025-11-12,74.62
2025-11-13,70.22
2025-11-14,70.88
2025-11-17,65.20
2025-11-18,66.76
2025-11-19,66.43
2025-11-20,66.36
2025-11-21,67.54
2025-11-24,71.12
2025-11-25,71.95
2025-11-26,74.81
2025-11-28,77.70
2025-12-01,77.59
2025-12-02,78.85
2025-12-03,79.75
2025-12-04,80.13
2025-12-05,79.30
2025-12-08,80.05
2025-12-09,80.68
2025-12-10,80.95
2025-12-11,81.17
2025-12-12,81.18
2025-12-15,76.75
2025-12-16,76.47
2025-12-17,74.40
2025-12-18,75.48
2025-12-19,77.51
2025-12-22,78.05
2025-12-23,77.80
2025-12-24,77.55
2025-12-26,76.46
2025-12-29,75.28
2025-12-30,76.96
2025-12-31,75.59
2026-01-02,75.60
2026-01-05,76.72
2026-01-06,76.57
2026-01-07,77.00
2026-01-08,77.80
2026-01-09,77.39
2026-01-12,77.25
2026-01-13,78.50
2026-01-14,77.94
2026-01-15,77.50
2026-01-16,77.62
2026-01-20,76.23
2026-01-21,76.68
2026-01-22,76.84
2026-01-23,76.78
2026-01-26,76.66
2026-01-27,76.81
2026-01-28,76.68
2026-01-29,71.66
2026-01-30,72.84
2026-02-02,70.94
2026-02-03,70.88
2026-02-04,72.43
2026-02-05,68.23
2026-02-06,71.50
2026-02-09,73.25
2026-02-10,74.85
2026-02-11,75.00
2026-02-12,75.25
2026-02-13,76.36
2026-02-17,76.01
2026-02-18,76.22
2026-02-19,76.42
2026-02-20,77.25
2026-02-23,75.99
2026-02-24,75.92
2026-02-25,77.60
2026-02-26,77.79
2026-02-27,77.52
2026-03-02,78.25
2026-03-03,78.35
2026-03-04,79.74
2026-03-05,79.74
2026-03-06,78.82
2026-03-09,78.83
2026-03-10,79.05
2026-03-11,79.30
2026-03-12,79.00
2026-03-13,76.92
2026-03-16,76.92
2026-03-17,75.79
2026-03-18,74.95
