date,price
2025-03-24,90.25
2025-03-25,92.50
2025-03-26,92.92
2025-03-27,92.25
2025-03-28,91.95
2025-03-31,93.00
2025-04-01,92.50
2025-04-02,93.10
2025-04-03,91.25
2025-04-04,89.60
2025-04-07,87.82
2025-04-08,86.25
2025-04-09,88.47
2025-04-10,85.99
2025-04-11,86.34
2025-04-14,87.45
2025-04-15,87.50
2025-04-16,87.50
2025-04-17,88.45
2025-04-21,90.00
2025-04-22,91.85
2025-04-23,91.08
2025-04-24,91.47
2025-04-25,91.40
2025-04-28,91.65
2025-04-29,91.85
2025-04-30,91.65
2025-05-01,92.15
2025-05-02,93.80
2025-05-05,92.89
2025-05-06,93.55
2025-05-07,93.85
2025-05-08,94.30
2025-05-09,93.97
2025-05-12,95.66
2025-05-13,96.98
2025-05-14,97.60
2025-05-15,97.45
2025-05-16,98.00
2025-05-19,98.24
2025-05-20,98.80
2025-05-21,100.65
2025-05-22,99.40
2025-05-23,100.15
2025-05-27,101.42
2025-05-28,101.51
2025-05-29,102.48
2025-05-30,103.59
2025-06-02,104.51
2025-06-03,106.00
2025-06-04,107.10
2025-06-05,100.00
2025-06-06,103.28
2025-06-09,105.25
2025-06-10,105.25
2025-06-11,104.70
2025-06-12,104.68
2025-06-13,103.50
2025-06-16,103.60
2025-06-17,102.91
2025-06-18,103.60
2025-06-20,104.00
2025-06-23,103.78
2025-06-24,104.31
2025-06-25,104.40
2025-06-26,104.50
2025-06-27,105.30
2025-06-30,113.15
2025-07-01,111.37
2025-07-02,114.59
2025-07-03,117.72
2025-07-07,120.25
2025-07-08,122.40
2025-07-09,125.45
2025-07-10,126.48
2025-07-11,122.38
2025-07-14,118.51
2025-07-15,117.00
2025-07-16,118.87
2025-07-17,121.20
2025-07-18,119.14
2025-07-21,119.00
2025-07-22,119.00
2025-07-23,115.91
2025-07-24,112.90
2025-07-25,110.50
2025-07-28,112.88
2025-07-29,115.05
2025-07-30,117.93
2025-07-31,121.20
2025-08-01,117.41
2025-08-04,118.55
2025-08-05,116.55
2025-08-06,116.56
2025-08-07,117.68
2025-08-08,117.81
2025-08-11,117.40
2025-08-12,117.23
2025-08-13,117.08
2025-08-14,116.42
2025-08-15,114.99
2025-08-18,114.25
2025-08-19,111.47
2025-08-20,111.00
2025-08-21,110.90
2025-08-22,111.24
2025-08-25,111.25
2025-08-26,111.03
2025-08-27,111.65
2025-08-28,111.50
2025-08-29,110.71
2025-09-02,111.31
2025-09-03,111.72
2025-09-04,111.13
2025-09-05,111.35
2025-09-08,111.54
2025-09-09,111.69
2025-09-10,112.30
2025-09-11,112.65
2025-09-12,113.43
2025-09-15,111.55
2025-09-16,111.72
2025-09-17,111.86
2025-09-18,111.85
2025-09-19,111.75
2025-09-22,111.01
2025-09-23,110.85
2025-09-24,110.75
2025-09-25,110.03
2025-09-26,109.90
2025-09-29,111.49
2025-09-30,112.00
2025-10-01,114.49
2025-10-02,114.70
2025-10-03,115.99
2025-10-06,116.50
2025-10-07,114.50
2025-10-08,116.00
2025-10-09,115.43
2025-10-10,114.49
2025-10-13,112.11
2025-10-14,111.26
2025-10-15,111.00
2025-10-16,110.20
2025-10-17,109.79
2025-10-20,110.01
2025-10-21,111.14
2025-10-22,110.08
2025-10-23,110.16
2025-10-24,110.21
2025-10-27,111.04
2025-10-28,109.76
2025-10-29,109.85
2025-10-30,109.51
2025-10-31,108.83
2025-11-03,110.75
2025-11-04,109.97
2025-11-05,110.20
2025-11-06,110.00
2025-11-07,109.81
2025-11-10,109.82
2025-11-11,108.84
2025-11-12,107.60
2025-11-13,104.55
2025-11-14,105.58
2025-11-17,99.79
2025-11-18,103.02
2025-11-19,98.00
2025-11-20,94.00
2025-11-21,97.73
2025-11-24,102.66
2025-11-25,102.10
2025-11-26,104.80
2025-11-28,108.72
2025-12-01,106.25
2025-12-02,108.90
2025-12-03,108.62
2025-12-04,110.77
2025-12-05,109.06
2025-12-08,110.02
2025-12-09,109.80
2025-12-10,110.37
2025-12-11,110.56
2025-12-12,109.75
2025-12-15,106.45
2025-12-16,107.24
2025-12-17,107.28
2025-12-18,107.78
2025-12-19,107.73
2025-12-22,106.98
2025-12-23,105.50
2025-12-24,106.20
2025-12-26,106.02
2025-12-29,103.50
2025-12-30,103.44
2025-12-31,101.05
2026-01-02,103.54
2026-01-05,104.60
2026-01-06,104.49
2026-01-07,104.31
2026-01-08,105.55
2026-01-09,105.07
2026-01-12,104.29
2026-01-13,104.23
2026-01-14,104.15
2026-01-15,104.38
2026-01-16,104.75
2026-01-20,100.35
2026-01-21,101.69
2026-01-22,101.23
2026-01-23,101.40
2026-01-26,100.00
2026-01-27,100.06
2026-01-28,97.90
2026-01-29,96.50
2026-01-30,100.00
2026-02-02,98.00
2026-02-03,97.40
2026-02-04,97.98
2026-02-05,93.30
2026-02-06,97.76
2026-02-09,98.02
2026-02-10,97.68
2026-02-11,97.80
2026-02-12,98.25
2026-02-13,99.75
2026-02-17,100.29
2026-02-18,100.61
2026-02-19,100.86
2026-02-20,100.96
2026-02-23,100.10
2026-02-24,99.84
2026-02-25,100.99
2026-02-26,100.94
2026-02-27,98.56
2026-03-02,100.93
2026-03-03,100.00
2026-03-04,100.91
2026-03-05,100.56
2026-03-06,100.02
2026-03-09,101.48
2026-03-10,102.74
2026-03-11,102.38
2026-03-12,101.84
2026-03-13,100.29
2026-03-16,100.29
2026-03-17,100.23
2026-03-18,99.845
2026-03-19,98.58
2026-03-20,97.99
2026-03-21,96.78
