date,price
2025-02-03,82.75
2025-02-04,83.25
2025-02-05,83.14
2025-02-06,84.60
2025-02-07,86.40
2025-02-10,89.50
2025-02-11,89.57
2025-02-12,90.00
2025-02-13,90.26
2025-02-14,94.04
2025-02-18,98.60
2025-02-19,95.78
2025-02-20,97.75
2025-02-21,93.01
2025-02-24,93.10
2025-02-25,90.75
2025-02-26,93.13
2025-02-27,91.59
2025-02-28,92.40
2025-03-03,90.24
2025-03-04,92.55
2025-03-05,94.35
2025-03-06,94.40
2025-03-07,92.40
2025-03-10,84.80
2025-03-11,87.03
2025-03-12,87.25
2025-03-13,86.77
2025-03-14,88.34
2025-03-17,88.20
2025-03-18,84.97
2025-03-19,83.90
2025-03-20,83.00
2025-03-21,85.00
2025-03-24,86.62
2025-03-25,87.03
2025-03-26,86.44
2025-03-27,85.94
2025-03-28,84.08
2025-03-31,84.01
2025-04-01,86.46
2025-04-02,85.71
2025-04-03,83.61
2025-04-04,83.90
2025-04-07,81.82
2025-04-08,81.13
2025-04-09,83.99
2025-04-10,81.68
2025-04-11,84.54
2025-04-14,84.21
2025-04-15,83.94
2025-04-16,84.93
2025-04-17,85.15
2025-04-21,85.00
2025-04-22,86.31
2025-04-23,85.57
2025-04-24,85.86
2025-04-25,86.68
2025-04-28,86.60
2025-04-29,89.00
2025-04-30,89.50
2025-05-01,89.50
2025-05-02,90.97
2025-05-05,90.25
2025-05-06,90.41
2025-05-07,90.55
2025-05-08,91.94
2025-05-09,92.65
2025-05-12,94.38
2025-05-13,97.03
2025-05-14,96.12
2025-05-15,96.54
2025-05-16,96.50
2025-05-19,98.47
2025-05-20,99.20
2025-05-21,100.00
2025-05-22,100.91
2025-05-23,100.99
2025-05-27,101.74
2025-05-28,102.02
2025-05-29,101.61
2025-05-30,103.16
2025-06-02,104.49
2025-06-03,106.05
2025-06-04,107.50
2025-06-05,101.74
2025-06-06,105.60
2025-06-09,107.94
2025-06-10,106.98
2025-06-11,106.72
2025-06-12,106.00
2025-06-13,104.50
2025-06-16,104.75
2025-06-17,103.90
2025-06-18,104.35
2025-06-20,102.68
2025-06-23,103.01
2025-06-24,103.80
2025-06-25,104.80
2025-06-26,105.23
2025-06-27,105.56
2025-06-30,121.01
2025-07-01,116.97
2025-07-02,118.06
2025-07-03,120.44
2025-07-07,120.80
2025-07-08,123.00
2025-07-09,124.50
2025-07-10,125.75
2025-07-11,122.50
2025-07-14,118.53
2025-07-15,118.78
2025-07-16,119.39
2025-07-17,121.37
2025-07-18,118.17
2025-07-21,117.59
2025-07-22,114.46
2025-07-23,114.24
2025-07-24,111.40
